MBI Sample ID,Your Sample ID,Sampling Date,Sample Type,Group,Qubit ng/ul,,,,,
S00Q1-0001,C1,2023-11-16,Material,cmp,0.16,,,,,
S00Q1-0002,C2,2023-11-16,Material,cmp,0.82,,,,,
S00Q1-0003,C3,2023-11-16,Material,cmp,0.95,,,,,
S00Q1-0004,C4,2023-11-16,Material,cmp,2.30,,,,,
S00Q1-0005,C5,2023-11-16,Material,cmp,0.68,,,,,
S00Q1-0006,C6,2023-11-16,Material,cmp,2.87,,,,,
S00Q1-0007,C7,2023-11-16,Material,cmp,0.31,,,,,
S00Q1-0008,C8,2023-11-16,Material,cmp,0.23,,,,,
S00Q1-0009,C9,2023-11-16,Material,cmp,0.30,,,,,
S00Q1-0010,C10,2023-11-16,Material,cmp,1.55,,,,,
S00Q1-0011,L1,2023-11-16,Material,lds ,Too Low,,,,,
S00Q1-0012,L2,2023-11-16,Material,lds ,Too Low,,,,,
S00Q1-0013,L3,2023-11-16,Material,lds ,Too Low,,,,,
S00Q1-0014,L4,2023-11-16,Material,lds ,0.30,,,,,
S00Q1-0015,L5,2023-11-16,Material,lds ,0.25,,,,,
S00Q1-0016,L6,2023-11-16,Material,lds ,0.64,,,,,
S00Q1-0017,L7,2023-11-16,Material,lds ,0.18,,,,,
S00Q1-0018,L8,2023-11-16,Material,lds ,0.05,,,,,
S00Q1-0019,L9,2023-11-16,Material,lds ,0.21,,,,,
S00Q1-0020,L10,2023-11-16,Material,lds ,0.19,,,,,
S00Q1-0021,PG1,2023-11-16,Material,prt,0.06,,,,,
S00Q1-0022,PG2,2023-11-16,Material,prt,1.38,,,,,
S00Q1-0023,PG3,2023-11-16,Material,prt,0.68,,,,,
S00Q1-0024,PG4,2023-11-16,Material,prt,0.31,,,,,
S00Q1-0025,PG5,2023-11-16,Material,prt,1.49,,,,,
S00Q1-0026,PP1,2023-11-16,Material,prt,0.20,,,,,
S00Q1-0027,PP2,2023-11-16,Material,prt,1.24,,,,,
S00Q1-0028,PP3,2023-11-16,Material,prt,1.94,,,,,
S00Q1-0029,PP4,2023-11-16,Material,prt,0.71,,,,,
S00Q1-0030,PP5,2023-11-16,Material,prt,2.12,,,,,
,,,,,,,,,,
