features,S00Q1-0001,S00Q1-0020,S00Q1-0028,S00Q1-0030,S00Q1-0011,DNA-3CLD,S00Q1-0027,S00Q1-0008,S00Q1-0012,S00Q1-0004,S00Q1-0025,S00Q1-0024,S00Q1-0007,DNA-3CLC,S00Q1-0018,S00Q1-0026,S00Q1-0002,S00Q1-0019,S00Q1-0022,S00Q1-0006,S00Q1-0029,S00Q1-0003,S00Q1-0023,S00Q1-0013,S00Q1-0021,S00Q1-0010,S00Q1-0014,S00Q1-0017,S00Q1-0015,S00Q1-0005,S00Q1-0016,S00Q1-0009
k__Bacteria; p__; c__; o__; f__; g__; s__,18130,21414,29276,13010,780,89,13501,13488,354,50715,22545,13869,15653,71,6561,24842,17709,29748,23029,51682,10473,40371,27849,179,9787,49119,29942,52644,40067,44765,47957,12059
k__Bacteria; p__Actinobacteria; c__; o__; f__; g__; s__,979,1126,1312,1199,69,1,751,1582,21,18747,1459,1612,2204,1,608,1869,911,1651,1044,6567,1189,2164,2259,6,559,4427,1347,16420,2507,6852,5028,1182
k__Bacteria; p__Actinobacteria; c__Actinomycetia; o__; f__; g__; s__,43511,49437,46115,63996,3410,61,65680,82644,367,50740,45684,54820,81790,87,16217,55411,56644,78311,32262,24947,58151,79860,76939,119,24255,60768,57520,73482,74904,62288,49571,104513
k__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Actinomycetales; f__Actinomycetaceae; g__; s__,13728,11634,2184,7454,434,1,7508,7801,73,4057,3079,5343,8521,6,3545,12558,16147,12843,3436,1854,5069,26488,6445,12,5331,5545,4577,15597,10494,5850,4174,8709
k__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Actinomycetales; f__Actinomycetaceae; g__Actinomyces; s__,281182,394301,203290,1936342,84695,1562,834109,2842007,2985,412893,738899,1844777,2571397,1564,351877,1057708,1408873,823218,536056,177535,1817006,145525,1510032,1633,508211,693355,1153790,1216026,896719,802941,815370,3737797
k__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Actinomycetales; f__Actinomycetaceae; g__Actinomyces; s__sp. oral taxon 169,772418,1007515,449901,1376639,27985,2585,762765,6109889,3113,613445,818338,5395246,4565694,1759,283853,3082221,4731178,2333479,577758,255725,4864342,566759,1200868,2177,1272010,525795,876532,1090255,691220,702712,713046,1475615
k__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Actinomycetales; f__Actinomycetaceae; g__Actinomyces; s__sp. HMT 175,101769,122302,96673,1590102,27513,970,657479,1876961,1307,289112,562657,1673517,1678823,963,181099,316125,1052174,272789,429785,109431,2025768,103204,1696383,1056,228502,667349,758918,1105712,671084,1004699,753187,1692979
k__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Actinomycetales; f__Actinomycetaceae; g__Actinomyces; s__sp. oral taxon 171,34474,122221,38195,355925,18360,223,192454,467519,314,115039,180076,409404,383637,241,38985,115872,234167,155795,143254,43334,442250,31214,276020,212,57426,161775,149121,214862,219450,161535,243515,615737
k__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Actinomycetales; f__Actinomycetaceae; g__Actinomyces; s__sp. oral taxon 414,24876,38304,4230951,549837,5886,332,202491,37291,1189,397538,271508,77114,24202,633,3140,6498,20319,73350,113177,663362,28614,7653,1390655,900,4629,912823,1578693,793918,1110124,2733940,503720,113092
k__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Actinomycetales; f__Actinomycetaceae; g__Actinomyces; s__sp. MAS-1,2853,8195,15074,16837,569,15,9042,15985,13,6013,20610,15051,13809,17,1316,5144,9263,18804,4902,3896,17240,2626,19299,14,2351,26100,12403,9970,16892,17538,16490,19889
k__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Actinomycetales; f__Actinomycetaceae; g__Actinomyces; s__sp. oral taxon 897,1798,4598,13134,3884,100,10,62834,926,56,129233,6910,1050,704,24,90,518,1517,9710,909,19239,2853,518,7482,9,253,24787,6998,2590,137295,12736,41577,2345
k__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Actinomycetales; f__Actinomycetaceae; g__Actinomyces; s__sp. HMT897,1637,3394,15919,3973,158,12,54535,2941,51,110397,5498,2504,2444,20,216,1193,2736,10200,1281,16532,3541,719,9829,11,543,15618,8032,1975,120224,17473,36356,4105
k__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Actinomycetales; f__Actinomycetaceae; g__Actinomyces; s__sp. Z16,1596,4473,16659,8455,236,6,3922,5228,13,3931,13267,4812,4638,3,458,1842,3149,11373,2059,3206,5839,1505,13572,5,896,18105,9798,5535,8222,15073,6705,6599
k__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Actinomycetales; f__Actinomycetaceae; g__Actinomyces; s__sp. Chiba101,1277,5103,8093,8873,234,1,23747,7346,8,4500,10942,6656,5869,16,698,1564,3784,9505,3530,2801,7445,1388,8470,6,747,14213,5916,5916,32239,8246,12252,7851
k__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Actinomycetales; f__Actinomycetaceae; g__Actinomyces; s__sp. 432,1207,3631,9003,7082,168,8,3614,6894,3,3180,10972,6249,5721,7,480,1863,4338,9112,1912,1943,6813,1673,9166,5,953,14472,5837,5287,6300,9428,5607,7192
k__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Actinomycetales; f__Actinomycetaceae; g__Actinomyces; s__sp. zg-332,36,23,10,6,0,0,19,6,0,34,20,5,14,0,6,40,36,14,46,175,5,59,12,0,10,24,11,13,42,14,82,10
k__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Actinomycetales; f__Actinomycetaceae; g__Actinomyces; s__oris,271381,438473,257436,5596785,171961,2422,1432813,4265665,3256,652732,3191222,3773622,3607337,2236,394969,908995,2399141,822057,959946,252355,4280049,254023,3124021,2469,545153,1891856,1474514,2284005,1402647,1848388,1628794,11848610
k__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Actinomycetales; f__Actinomycetaceae; g__Actinomyces; s__pacaensis,121545,36792,167,1122,112,11,1101,43553,416,1756,1776,15762,67443,24,67408,125056,90618,52369,2722,1580,12216,195995,407,41,63715,1225,339,170552,6332,1005,7895,2030
k__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Actinomycetales; f__Actinomycetaceae; g__Actinomyces; s__naeslundii,41428,72166,179157,428816,14562,821,7275917,391369,1253,3185100,641259,328462,319630,801,36546,83723,186450,104194,3361594,336679,352685,33490,343954,405,62316,320266,460211,209735,1641341,203415,1267422,457711
k__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Actinomycetales; f__Actinomycetaceae; g__Actinomyces; s__viscosus,11284,44424,28854,145687,8092,135,117243,189866,138,64897,78053,163662,152057,133,16781,34667,68840,59547,70423,25066,173354,11159,159248,126,17369,82184,93276,95946,196841,102804,251385,212973
k__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Actinomycetales; f__Actinomycetaceae; g__Actinomyces; s__slackii,2822,7945,12232,11665,503,14,8370,13053,24,5026,16406,11297,10964,14,1004,3871,7320,16494,4580,3216,13172,1998,16812,18,1923,25547,11737,8464,14305,17106,13129,15040
k__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Actinomycetales; f__Actinomycetaceae; g__Actinomyces; s__radicidentis,2682,7060,18738,10112,259,6,5364,7540,13,3901,20845,7011,6488,13,634,2777,5057,17840,2551,3491,7918,2872,17155,7,1216,25382,12270,7439,11805,17506,9325,7110
k__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Actinomycetales; f__Actinomycetaceae; g__Actinomyces; s__howellii,2535,7239,17519,9896,273,8,5140,7165,20,3908,20991,6692,6315,10,665,2877,4715,18506,2834,3610,8235,1484,18489,4,1330,24864,11721,8197,9934,17177,9113,8953
k__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Actinomycetales; f__Actinomycetaceae; g__Actinomyces; s__respiraculi,2263,5668,23669,9719,272,8,5276,7779,14,4203,14329,7237,6292,13,657,2841,5026,14024,2890,4467,7772,2030,16096,12,1287,22501,12665,9171,11768,20653,8189,8288
k__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Actinomycetales; f__Actinomycetaceae; g__Actinomyces; s__faecalis,2145,5504,14282,9688,314,2,4302,8183,12,3064,14944,7496,6919,11,802,2516,6212,12381,2319,2815,8171,2376,13091,6,1342,18927,8978,7111,8592,13211,7780,12929
k__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Actinomycetales; f__Actinomycetaceae; g__Actinomyces; s__qiguomingii,1404,3601,10888,7053,242,5,3006,5741,14,2714,9588,5197,5203,11,517,1954,3782,8734,1847,2230,5965,1262,9731,7,944,12291,6471,4880,6376,10793,5847,9003
k__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Actinomycetales; f__Actinomycetaceae; g__Actinomyces; s__procaprae,1287,3586,10109,6244,159,3,3303,5224,8,2361,10586,4622,4616,3,454,1193,2710,9218,1842,1986,5573,1315,8662,3,627,13918,6088,4839,6269,9207,5310,5667
k__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Actinomycetales; f__Actinomycetaceae; g__Actinomyces; s__marmotae,1239,2401,4988,5237,159,4,9586,4905,18,2260,5863,4586,4066,7,491,2713,4999,5350,1926,1551,4666,1293,6507,6,1247,6609,4418,4151,13773,5184,6108,6196
k__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Actinomycetales; f__Actinomycetaceae; g__Actinomyces; s__weissii,1222,3535,6557,6449,171,10,4006,7182,10,2725,8240,6595,5862,4,676,2094,4555,7575,2258,1843,7132,1407,8072,7,1093,10651,5138,5423,6949,7264,5477,7664
k__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Actinomycetales; f__Actinomycetaceae; g__Actinomyces; s__lilanjuaniae,1099,2623,3374,5628,187,1,2995,5325,7,1794,5218,4470,4587,5,560,1589,3471,5112,1645,1134,5167,848,6150,8,822,6896,3706,4220,4340,5017,4326,6875
k__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Actinomycetales; f__Actinomycetaceae; g__Actinomyces; s__trachealis,1082,2095,3788,6302,222,5,2590,4422,11,1609,5640,4392,3722,3,473,1621,3001,4164,1498,1144,4366,2510,5131,4,708,6526,3271,2926,4867,4471,3668,8440
